entry,format,width,height,mips,flags,kv3_version_hex,bytes
materials/blends/blend_wall_green_dark_01_vmat_g_tnormalroughness_4c4c86c9.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_wall_green_light_01_vmat_g_tcolor_3df7f1ea.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_green_medium_01_vmat_g_tcolor_651475f3.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_green_medium_02_vmat_g_tcolor_25f335de.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_orange_dark_01_vmat_g_tcolor_67acdf94.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_orange_dark_01_vmat_g_tnormalroughness_78dc195a.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_wall_orange_medium_01_vmat_g_tcolor_46ac9015.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_tan_medium_01_vmat_g_tcolor_cc88bbb5.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_tan_medium_01_vmat_g_tnormalroughness_d90ed6c2.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_wall_white_cool_01_vmat_g_tcolor_375e9526.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_white_neutral_01_vmat_g_tcolor_8e28646.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_white_warm_01_vmat_g_tcolor_bc0acf1c.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_white_warm_01_vmat_g_tnormalroughness_39f6f665.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_wall_white_warm_02_vmat_g_tcolor_8cd5db46.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wall_yellow_01_vmat_g_tcolor_3f346c55.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_window_01_vmat_g_tcolor_4e087a00.vtex_c,BC7,4,4,1,0,0x00000001,1984
materials/blends/blend_window_02_vmat_g_tcolor_bc3dbda0.vtex_c,BC7,4,4,1,0,0x00000001,1984
materials/blends/blend_window_ledge_01_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_window_ledge_01_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_window_ledge_01_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_window_trim_01_vmat_g_tcolor_5e6a3601.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wood_01_vmat_g_tcolor_8f8d459f.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_wood_01_vmat_g_tnormalroughness_f84ed568.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blue_illum_skybox_vmat_g_tcolor_acc4a762.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blue_illum_skybox_vmat_g_tselfillummask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,1976
materials/blends/canopy_green_01_vmat_g_tcolor_5d4a9dd6.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/canopy_green_01_vmat_g_tnormalroughness_1706c1dc.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/canvas_01_vmat_g_tcolor_7adc4db8.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/cemetery_grass_01_vmat_g_tcolor_ff68fd6a.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/cemetery_grass_01_vmat_g_tnormalroughness_dfda2d53.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/concrete_01_blend_png_70ebbc1d.vtex_c,ATI1N,2048,2048,10,0,0x00000001,2798236
materials/blends/concrete_01_color_psd_184f0f98.vtex_c,DXT1,1024,1024,9,0,0x00000001,701240
